episode,level,reward,steps,epsilon
163,3,-184.65439548764843,74,0.4439551321314536
164,3,-187.19194451591795,101,0.4417353564707963
165,3,-186.5837104000123,101,0.43952667968844233
166,3,-183.95037026638354,80,0.43732904629000013
167,3,-185.91532769636345,89,0.4351424010585501
168,3,-184.77688800621493,76,0.43296668905325736
169,3,-186.30785662429113,85,0.43080185560799106
170,3,-185.43704952063314,80,0.4286478463299511
171,3,-185.99169621912893,109,0.42650460709830135
172,3,-185.12801278399957,75,0.42437208406280985
173,3,-184.56557026638353,88,0.4222502236424958
174,3,-184.76592825126386,83,0.42013897252428334
175,3,-186.1376675919708,80,0.4180382776616619
176,3,-184.60748800621494,76,0.4159480862733536
177,3,-184.20007539243647,76,0.41386834584198684
178,3,-184.12962273067777,78,0.4117990041127769
179,3,-184.39368800621492,81,0.40974000909221303
180,3,-184.81063455854633,80,0.40769130904675194
181,3,-185.80346591454608,84,0.40565285250151817
182,3,-185.03039548764843,87,0.4036245882390106
183,3,-184.94415816919573,75,0.4016064652978155
184,3,-185.22614164937917,78,0.3995984329713264
185,3,-185.47754164937913,79,0.3976004408064698
186,3,-184.74684952063313,70,0.39561243860243744
187,3,-184.72099548764842,71,0.3936343764094253
188,3,-184.50858130676508,74,0.39166620452737816
189,3,-184.72767539243648,86,0.3897078735047413
190,3,-184.48618130676505,70,0.3877593341372176
191,3,-184.91259548764845,81,0.3858205374665315
192,3,-185.30174164937915,78,0.38389143477919885
193,3,-185.02490374794476,73,0.3819719776053028
194,3,-184.2335282512639,72,0.3800621177172763
195,3,-184.91664952063314,74,0.37816180712868996
196,3,-184.16511799995078,77,0.37627099809304654
197,3,-185.94109116623758,80,0.3743896431025813
198,3,-184.59707539243647,78,0.37251769488706843
199,3,-185.55194857908938,80,0.3706551064126331
200,3,-184.50383455854632,75,0.36880183088056995
201,3,-184.49443455854632,84,0.3669578217261671
202,3,-187.25937778587868,97,0.36512303261753626
203,3,-184.1250753924365,70,0.3632974174544486
204,3,-185.21701278399956,73,0.3614809303671764
205,3,-184.06191799995077,80,0.3596735257153405
206,3,-185.12568800621492,87,0.3578751580867638
207,3,-185.08364952063314,72,0.35608578229633
208,3,-184.84463455854632,77,0.3543053533848483
209,3,-184.52512825126388,77,0.35253382661792404
210,3,-184.24617026638353,76,0.3507711574848344
211,3,-184.82944952063315,69,0.34901730169741024
212,3,-185.10754164937916,75,0.3472722151889232
213,3,-185.22444952063313,80,0.3455358541129786
214,3,-185.03019548764843,79,0.3438081748424137
215,3,-184.57499548764844,76,0.3420891339682016
216,3,-184.3736880062149,77,0.3403786882983606
217,3,-184.71098130676506,76,0.3386767948568688
218,3,-184.6427954876484,66,0.33698341088258443
219,3,-186.6326978902164,96,0.3352984938281715
220,3,-184.01982273067776,67,0.33362200135903064
221,3,-184.27098130676507,74,0.33195389135223546
222,3,-184.37452373758308,80,0.3302941218954743
223,3,-183.92657026638352,74,0.32864265128599696
224,3,-184.84150374794476,75,0.326999438029567
225,3,-184.37227539243648,81,0.3253644408394192
226,3,-183.92477026638355,75,0.3237376186352221
227,3,-184.52472825126387,77,0.322118930542046
228,3,-184.54608800621492,72,0.32050833588933575
229,3,-184.62988800621494,73,0.31890579420988907
230,3,-183.95571799995076,75,0.3173112652388396
231,3,-183.6715179999508,74,0.3157247089126454
232,3,-184.81134185847566,72,0.3141460853680822
