episode,level,reward,steps,loss,epsilon
211,5,-10.5,122,0.8332210183143616,0.34901730169741024
212,5,-16.0,125,0.815962553024292,0.3472722151889232
213,5,-14.5,117,0.03137890622019768,0.3455358541129786
214,5,-11.0,123,0.8210456967353821,0.3438081748424137
215,5,-16.5,119,0.03365175798535347,0.3420891339682016
216,5,-12.0,117,0.011026201769709587,0.3403786882983606
217,5,-6.5,121,0.7921633720397949,0.3386767948568688
218,5,-12.5,121,0.810793936252594,0.33698341088258443
219,5,-22.0,127,1.5863678455352783,0.3352984938281715
220,5,-16.0,123,0.014932509511709213,0.33362200135903064
221,5,-16.5,122,1.5712344646453857,0.33195389135223546
222,5,-16.5,121,0.8001244068145752,0.3302941218954743
223,5,-16.0,121,0.013714996166527271,0.32864265128599696
224,5,-1.5,129,0.04937909543514252,0.326999438029567
225,5,-10.5,122,0.3089433014392853,0.3253644408394192
226,5,-21.0,124,1.5034358501434326,0.3237376186352221
227,5,-52.0,117,0.015287850983440876,0.322118930542046
228,5,-18.5,119,0.008110362105071545,0.32050833588933575
229,5,-6.5,121,0.016634836792945862,0.31890579420988907
230,5,-29.0,130,0.8265639543533325,0.3173112652388396
231,5,-16.0,119,0.8091781139373779,0.3157247089126454
232,5,-61.5,126,0.05767729878425598,0.3141460853680822
233,5,-17.5,119,1.5547441244125366,0.3125753549412418
234,5,-1.5,119,0.04057661443948746,0.31101247816653554
235,5,-13.5,118,2.18835186958313,0.30945741577570285
236,5,-10.5,121,1.5798537731170654,0.3079101286968243
237,5,-14.5,122,0.03878132998943329,0.3063705780533402
238,5,88.0,224,1.5552705526351929,0.30483872516307353
239,5,-21.0,119,1.5762360095977783,0.3033145315372582
240,5,-14.0,124,0.02750546857714653,0.3017979588795719
241,5,-10.5,121,0.8021204471588135,0.30028896908517405
242,5,-11.0,119,0.8052209615707397,0.2987875242397482
243,5,-39.0,129,1.5662542581558228,0.29729358661854943
244,5,-20.5,122,0.802537739276886,0.29580711868545667
245,5,-14.5,119,0.8038395047187805,0.2943280830920294
246,5,-17.5,118,1.6105070114135742,0.29285644267656924
247,5,-15.5,117,0.018147382885217667,0.2913921604631864
248,5,-14.0,118,0.01907534711062908,0.28993519966087045
249,5,-17.0,120,0.009243622422218323,0.2884855236625661
250,5,-12.0,119,0.8410633206367493,0.28704309604425327
251,5,-13.5,121,0.03220587968826294,0.285607880564032
252,5,-17.5,119,0.8132690191268921,0.28417984116121187
253,5,-22.0,120,0.8009303212165833,0.2827589419554058
254,5,-10.5,120,0.7993490099906921,0.28134514724562876
255,5,-12.0,121,2.3718409538269043,0.2799384215094006
256,5,-15.0,117,1.6021534204483032,0.27853872940185365
257,5,-18.0,121,0.7983643412590027,0.27714603575484437
258,5,-14.0,118,0.6987468600273132,0.2757603055760701
259,5,-19.5,120,0.023469142615795135,0.2743815040481898
260,5,-12.5,121,0.8084937334060669,0.2730095965279488
261,5,-10.0,120,2.335587978363037,0.27164454854530906
262,5,-16.0,119,0.4740530848503113,0.2702863258025825
263,5,-4.0,121,1.6006437540054321,0.2689348941735696
264,5,19.5,127,2.094071865081787,0.26759021970270175
265,5,-24.5,120,1.5970373153686523,0.2662522686041882
266,5,-14.5,126,0.03479529544711113,0.2649210072611673
267,5,-12.5,123,0.8029021620750427,0.26359640222486147
268,5,-15.5,122,0.036999113857746124,0.26227842021373715
269,5,-5.5,124,1.602489709854126,0.2609670281126685
270,5,-15.5,120,0.01886875554919243,0.25966219297210513
271,5,-8.0,125,0.01903119869530201,0.2583638820072446
272,5,-12.0,123,0.5554198622703552,0.2570720625972084
273,5,-11.5,120,0.024871202185750008,0.25578670228422234
274,5,-10.0,123,0.3299214243888855,0.25450776877280124
275,5,-12.0,120,3.1398069858551025,0.2532352299289372
276,5,-68.5,118,0.12320853769779205,0.2519690537792925
277,5,6.5,121,0.013372641056776047,0.2507092085103961
278,5,-17.5,121,1.8758058547973633,0.2494556624678441
279,5,-7.5,119,0.8002945780754089,0.24820838415550486
280,5,26.0,260,0.8116750717163086,0.24696734223472733
281,5,-14.0,123,0.3006017208099365,0.2457325055235537
282,5,-15.5,117,0.08676598966121674,0.24450384299593592
283,5,-12.0,116,0.038105472922325134,0.24328132378095624
284,5,-9.0,117,0.8164724707603455,0.24206491716205145
285,5,-15.0,121,1.0280991792678833,0.2408545925762412
286,5,-12.5,118,0.39034005999565125,0.23965031961336
287,5,8.5,119,1.5969613790512085,0.2384520680152932
288,5,-12.5,122,1.5476455688476562,0.23725980767521673
289,5,-8.0,117,0.04170297086238861,0.23607350863684065
290,5,-17.0,117,0.01925676129758358,0.23489314109365644
291,5,-13.0,123,0.02292686328291893,0.23371867538818816
292,5,-19.0,119,0.04996509477496147,0.23255008201124722
293,5,-14.5,124,1.8127740621566772,0.231387331601191
294,5,-9.0,119,0.03575234115123749,0.23023039494318503
295,5,-13.0,120,0.04658092185854912,0.2290792429684691
296,5,-15.0,121,0.34843137860298157,0.22793384675362674
297,5,-7.5,119,0.7961930632591248,0.22679417751985861
298,5,-15.0,120,2.9966254234313965,0.22566020663225933
299,5,99.0,275,0.020818285644054413,0.22453190559909803
300,5,-12.0,123,0.8140132427215576,0.22340924607110255
301,5,-12.0,117,0.8160918951034546,0.22229219984074702
302,5,-5.0,118,0.78799968957901,0.2211807388415433
303,5,-23.5,128,1.5913242101669312,0.22007483514733558
304,5,-1.5,123,0.7986639142036438,0.2189744609715989
305,5,86.0,228,0.8186226487159729,0.2178795886667409
306,5,-7.0,121,0.03852694109082222,0.2167901907234072
307,5,-13.0,117,0.7941733598709106,0.21570623976979014
308,5,-9.0,124,0.8221586346626282,0.21462770857094118
309,5,-8.5,119,0.013284636661410332,0.21355457002808648
310,5,-16.5,117,0.8131396174430847,0.21248679717794605
311,5,-10.5,124,0.015920987352728844,0.21142436319205632
312,5,-10.0,119,0.0190803911536932,0.21036724137609603
313,5,-6.5,121,0.0318978875875473,0.20931540516921554
314,5,-19.0,117,0.805995762348175,0.20826882814336947
315,5,-8.5,119,0.8056772351264954,0.20722748400265262
316,5,-13.0,117,0.7947992086410522,0.20619134658263935
317,5,-16.0,119,1.528969168663025,0.20516038984972615
318,5,-15.5,119,1.5854554176330566,0.2041345879004775
319,5,-16.5,118,0.028743231669068336,0.2031139149609751
320,5,-11.0,115,1.6206674575805664,0.20209834538617025
321,5,-9.5,121,0.8401951193809509,0.2010878536592394
322,5,-8.5,119,0.015407828614115715,0.2000824143909432
323,5,93.0,222,0.0450066514313221,0.19908200231898848
324,5,10.5,122,0.006373297888785601,0.19808659230739353
325,5,-11.0,121,0.7963050007820129,0.19709615934585656
326,5,-9.5,119,1.5902459621429443,0.19611067854912728
327,5,84.5,219,1.5882209539413452,0.19513012515638165
328,5,-13.5,120,1.5824074745178223,0.19415447453059972
329,5,-13.5,121,0.034652866423130035,0.19318370215794672
330,5,-6.0,119,0.025868693366646767,0.192217783647157
331,5,-9.0,120,0.04075439274311066,0.1912566947289212
332,5,-13.0,118,0.021430164575576782,0.1903004112552766
333,5,-19.0,118,0.7980693578720093,0.18934890919900021
334,5,-10.0,123,0.07977502048015594,0.18840216465300522
335,5,-15.0,120,0.005666607990860939,0.18746015382974018
336,5,-15.0,118,0.7935056686401367,0.1865228530605915
337,5,-8.0,124,0.8136147260665894,0.18559023879528855
338,5,-12.0,117,0.7803729176521301,0.1846622876013121
339,5,-13.0,118,0.013275553472340107,0.18373897616330553
340,5,-12.5,118,1.5870020389556885,0.182820281282489
341,5,-17.5,125,0.7987002730369568,0.18190617987607657
342,5,-17.5,118,0.02006344310939312,0.18099664897669618
343,5,-16.0,120,0.030273806303739548,0.1800916657318127
344,5,-14.0,119,0.8206438422203064,0.17919120740315364
345,5,-16.5,117,0.7984120845794678,0.17829525136613786
346,5,-7.0,120,0.007297215983271599,0.17740377510930716
347,5,-8.0,117,0.7943532466888428,0.17651675623376062
348,5,-5.5,120,0.02853461727499962,0.1756341724525918
349,5,-9.5,120,0.7894027829170227,0.17475600159032884
350,5,-7.0,122,2.419257164001465,0.17388222158237718
351,5,-8.5,118,0.8280847668647766,0.1730128104744653
352,5,-14.5,120,3.148756980895996,0.17214774642209296
353,5,-10.5,121,0.8135051131248474,0.1712870076899825
354,5,1.0,119,1.5767768621444702,0.17043057265153258
355,5,16.0,126,0.01682656817138195,0.16957841978827493
356,5,-11.0,116,0.05314271152019501,0.16873052768933355
357,5,-13.5,120,0.8230583071708679,0.1678868750508869
358,5,-13.0,121,0.050305332988500595,0.16704744067563246
359,5,-7.5,120,0.029017439112067223,0.1662122034722543
360,5,-8.5,118,0.8138190507888794,0.16538114245489302
361,5,-8.0,119,1.8195916414260864,0.16455423674261854
362,5,79.5,227,0.8101028203964233,0.16373146555890544
363,5,-5.5,119,1.5139555931091309,0.16291280823111093
364,5,-14.5,118,1.6058470010757446,0.16209824418995536
